skill,capability,owner,primary_hosts,branch_hashes,drift_type,recommendation,notes
FORGE-document-intelligence,RESEARCH,HERMES,HERMES|AAA|KIMI,"{""HERMES"": ""d7514ae8d77d89b1"", ""AAA"": ""74732c5434dc3d12"", ""KIMI"": ""8ccb657c3c790f77""}",BIDIRECTIONAL_DIVERGENCE,MERGE,3 physical branches detected across federation.
reality-loop-operator,RESEARCH,HERMES,HERMES|AAA,"{""HERMES"": ""e984d3b0db16f24a"", ""AAA"": ""ded9f02ad213840b""}",BIDIRECTIONAL_DIVERGENCE,MERGE,2 physical branches detected across federation.
FORGE-federation-manifest,RESEARCH,HERMES,HERMES|AAA,"{""HERMES"": ""dcc71567894f22f2"", ""AAA"": ""8b270d3416b0a846""}",BIDIRECTIONAL_DIVERGENCE,MERGE,2 physical branches detected across federation.
FORGE-fastmcp,CODING,A2M,HERMES|AAA,"{""HERMES"": ""c165113703a97f40"", ""AAA"": ""6ba83abfa8db43df""}",A2M_DRIFT_IN_HERMES,PROMOTE_AAA,2 physical branches detected across federation.
wisdom-scar-session-audit,RESEARCH,HERMES,HERMES|AAA,"{""HERMES"": ""f168d9ddf0418241"", ""AAA"": ""5fff2c41048a0e07""}",BIDIRECTIONAL_DIVERGENCE,MERGE,2 physical branches detected across federation.
wealth-claim-state,RESEARCH,HERMES,HERMES|AAA,"{""HERMES"": ""40c25878e8351358"", ""AAA"": ""af97c920ba6ab2e3""}",BIDIRECTIONAL_DIVERGENCE,MERGE,2 physical branches detected across federation.
FORGE-vps-docker,DEPLOYMENT,A-FORGE,HERMES|KIMI,"{""HERMES"": ""9b7c895e971df484"", ""KIMI"": ""a8aa4e338ad38f92""}",A2M_DRIFT_IN_HERMES,PROMOTE_AAA,2 physical branches detected across federation.
firecrawl-web-search,RESEARCH,HERMES,HERMES|KIMI,"{""HERMES"": ""1055569e9197ba56"", ""KIMI"": ""0aca5f4856015a5b""}",SPECIALIZATION,MERGE,2 physical branches detected across federation.
openclaw,ROUTING,OPENCLAW,HERMES|AAA,"{""HERMES"": ""d86a0ef987ec5d6f"", ""AAA"": ""2fcbed75c645def0""}",BIDIRECTIONAL_DIVERGENCE,MERGE,2 physical branches detected across federation.
forge-multimodal-router,ROUTING,OPENCLAW,HERMES|AAA,"{""HERMES"": ""f62ae1f77875546c"", ""AAA"": ""34a4ad9b5c6c4812""}",BIDIRECTIONAL_DIVERGENCE,MERGE,2 physical branches detected across federation.
AAA-asr-glm-ingest,MULTIMODAL_PERCEPTION,HERMES,HERMES|AAA,"{""HERMES"": ""191de843884c2b7c"", ""AAA"": ""ffebffad828f6893""}",BIDIRECTIONAL_DIVERGENCE,MERGE,2 physical branches detected across federation.
institutional-epistemic-sink-forensics,RESEARCH,HERMES,HERMES|KIMI|OPENCODE_CONFIG,"{""HERMES"": ""9f2c31a7cb768afc"", ""KIMI"": ""c9d936bbe0b9ea48"", ""OPENCODE_CONFIG"": ""c9d936bbe0b9ea48""}",SPECIALIZATION,MERGE,3 physical branches detected across federation.
FORGE-github-ops,CODING,A2M,HERMES|AAA,"{""HERMES"": ""6622a2212147cf99"", ""AAA"": ""80ac10a938314b3b""}",A2M_DRIFT_IN_HERMES,PROMOTE_AAA,2 physical branches detected across federation.
EUREKA777-paradox-resolution,RESEARCH,HERMES,HERMES|KIMI,"{""HERMES"": ""1ff295f64c1e31c5"", ""KIMI"": ""e52834617093ae3f""}",SPECIALIZATION,MERGE,2 physical branches detected across federation.
